Team,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009
ATL,25,22,22,26,30,27,27,19,12,8
BOS,20,9,14,20,11,24,29,1,3,11
CHA,14,13,0,0,0,0,0,0,0,0
CHI,29,29,23,28,10,14,8,22,15,17
CHR,0,0,0,0,28,28,23,23,19,15
CLE,23,24,28,21,17,6,7,13,1,1
DAL,5,4,1,7,4,3,1,10,9,4
DEN,19,26,29,11,9,11,10,11,5,6
DET,21,7,7,6,5,1,4,2,17,25
GSW,28,28,19,19,22,22,12,12,24,26
HOU,15,25,15,10,7,23,5,7,8,16
IND,18,15,10,1,15,15,19,20,18,21
LAC,22,18,25,25,19,9,16,26,29,23
LAL,2,2,5,4,21,10,13,3,2,3
MEM,0,27,24,8,13,8,30,27,26,19
MIA,10,21,26,12,2,5,11,30,14,13
MIL,7,17,16,14,25,17,28,24,20,14
MIN,13,6,4,2,14,25,24,28,25,29
NJN,24,5,8,9,18,7,15,21,21,30
NOH,0,0,12,15,29,0,0,4,10,20
NOO,0,0,0,0,0,19,18,0,0,0
NYK,11,23,20,17,24,29,22,25,23,22
OKC,0,0,0,0,0,0,0,0,27,9
ORL,17,11,17,29,20,20,17,9,4,2
PHI,3,14,9,22,16,18,20,17,16,24
PHO,8,20,13,24,1,4,2,6,13,5
POR,9,8,6,16,26,30,25,16,6,12
SAC,4,1,3,5,8,12,21,18,30,28
SAS,1,3,2,3,3,2,3,5,7,10
SEA,16,10,18,18,6,21,26,29,0,0
TOR,12,16,27,23,23,26,9,15,22,18
UTA,6,12,11,13,27,16,6,8,11,7
VAN,26,0,0,0,0,0,0,0,0,0
WAS,27,19,21,27,12,13,14,14,28,27
